Course,Title,CourseType,Instructor,StartDate,EndDate,Weekdays,StartTime,EndTime,Location,RoomType,Enrolled,Credits
ACL 0003 01,Real Seminar,LEC,Herbert Jean L S,9/2/14,12/8/14,M,12:00 PM,1:15 PM,M010 209,Classroom,2,0.5
ACL 0007 LA,Faculty Seminars,LEC,Manos Christopher,9/2/14,12/8/14,M,10:30 AM,11:45 AM,M010 124,Seminar Room,11,0.5
ACL 0007 LB,Faculty Seminars,LEC,Sullivan Linda M,9/2/14,12/8/14,T,10:30 AM,11:45 AM,M019 009,Classroom,8,0.5
ACL 0007 LC,Faculty Seminars,LEC,Weigand Claire Nicole,9/2/14,12/8/14,T,4:30 PM,5:45 PM,M038 015,Seminar Room,10,0.5
ACL 0007 LD,Faculty Seminars,LEC,Baffi-Dugan Carol,9/2/14,12/8/14,M,3:00 PM,4:15 PM,M086 001,Classroom,12,0.5
ACL 0007 LE,Faculty Seminars,LEC,Mack Robert D.,9/2/14,12/8/14,M,3:00 PM,4:15 PM,M007 226,Classroom,25,0.5
ACL 0007 LF,Faculty Seminars,LEC,Smith-King Branwen C A,9/2/14,12/8/14,M,4:30 PM,5:45 PM,M019 009,Classroom,12,0.5
ACL 0205 01,Intl Communication,LEC,Aikens Kristina N,9/2/14,12/8/14,S,10:00 AM,12:00 PM,M024 314,Classroom,13,0
AFR 0088 01,Slave Revolts and Maroons,LEC,Thomas Greg,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M007 226,Classroom,10,1
AMER 0012 01,Race In America,LEC,Wu Jean Y,9/2/14,12/8/14,R,4:30 PM,7:15 PM,M006 100,Classroom,28,1
AMER 0083 01,Freshman Seminar,LEC,Johnson Ronna C,9/2/14,12/8/14,TR,4:30 PM,5:45 PM,M010 124,Seminar Room,3,1
AMER 0096 01,Afr Am Us Hist Since1865,LEC,Joseph Peniel E.,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M022 152,Classroom,13,1
AMER 0180 02,Sp Top: Integrative Sem,LEC,Masuoka Natalie,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M086 011,Classroom,6,1
AMER 0180 04,Sp Top: Integrative Sem,LEC,Lowe Lisa,9/2/14,12/8/14,W,1:20 PM,4:20 PM,M010 333,Classroom,12,1
AMER 0180 05,Sp Top: Integrative Sem,LEC,Curtis Heather D,9/2/14,12/8/14,W,9:00 AM,11:30 AM,M010 124,Seminar Room,0,1
AMER 0180 07,Sp Top: Integrative Sem,LEC,Stanton Catherine Louise,9/2/14,12/8/14,W,1:30 PM,4:00 PM,M027 010,Classroom,0,1
AMER 0182 01,Asian America,LEC,Wu Jean Y,9/2/14,12/8/14,R,1:30 PM,4:15 PM,M006 100,Classroom,13,1
AMER 0193 01,Independent Study,LEC,Wu Jean Y,9/2/14,12/8/14,M,6:00 PM,9:00 PM,M010 204,Classroom,9,1
AMER 0194 03,Special Topics,LEC,Zavala Zum Brook Adriana,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M010 202,Classroom,7,1
AMER 0194 05,Special Topics,LEC,Abowd Thomas,9/2/14,12/8/14,W,6:30 PM,9:00 PM,M086 102,Classroom,3,1
AMER 0194 07,Special Topics,LEC,Chen Thomas Chiachieh,9/2/14,12/8/14,T,1:20 PM,4:20 PM,M010 333,Classroom,6,1
AMER 0194 08,Special Topics,LEC,Thomas Greg,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M007 226,Classroom,3,1
AMER 0194 09,Special Topics,LEC,Curtis Heather D,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M010 202,Classroom,0,1
AMER 0194 10,Special Topics,LEC,Grey Jacquelyn,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M007 225,Classroom,9,1
AMER 0194 11,Special Topics,LEC,Grey Jacquelyn,9/2/14,12/8/14,W,9:00 AM,11:30 AM,M019 009,Classroom,7,1
AMER 0198 01,Senior Special Project,LEC,Chen Thomas Chiachieh,9/2/14,12/8/14,R,6:00 PM,9:00 PM,M086 107,Classroom,6,1
AMER 0199 01,Senior Honors Thesis A,LEC,Chen Thomas Chiachieh,9/2/14,12/8/14,R,6:00 PM,9:00 PM,M086 107,Classroom,9,0
ANTH 0015 01,Nat People Rights S Amer,LEC,Tirrell Andrew R.,9/2/14,12/8/14,TR,6:00 PM,7:15 PM,M027 010,Classroom,38,1
ANTH 0016 01,Intro Latino Cultures,LEC,Pacini Deborah,9/2/14,12/8/14,TR,1:30 PM,2:45 PM,M027 113,Classroom,33,1
ANTH 0027 01,Human Rights And Culture,LEC,Bishara Amahl,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M010 206,Classroom,36,1
ANTH 0039 06,Gateway:sociocult Anth,LEC,Blanchette Alexander,9/2/14,12/8/14,MW,4:30 PM,5:45 PM,M010 206,Classroom,22,1
ANTH 0050 01,Prehistoric Archaeology,LEC,Sullivan Lauren A.,9/2/14,12/8/14,MW,6:00 PM,7:15 PM,M009 104,Classroom,22,1
ANTH 0126 01,FoodNutrition & Culture,LEC,Bailey Stephen M,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M004 104,Classroom,27,1
ANTH 0130 01,Anthropological Thought,LEC,Blanchette Alexander,9/2/14,12/8/14,TR,4:30 PM,5:45 PM,M010 203,Classroom,23,1
ANTH 0132 01,Myth Ritual & Symbol,LEC,Stanton Catherine Louise,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M010 203,Classroom,20,1
ANTH 0149 19,Selected Topics,LEC,Pinto Sarah,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M017 112,Classroom,27,1
ANTH 0149 24,Selected Topics,LEC,Stanton Catherine Louise,9/2/14,12/8/14,W,1:30 PM,4:00 PM,M027 010,Classroom,16,1
ANTH 0149 25,Selected Topics,LEC,Jaysane-Darr Anna,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M010 202,Classroom,11,1
ANTH 0165 01,After Violence:truthJus,LEC,Shaw Rosalind H,9/2/14,12/8/14,W,9:00 AM,11:30 AM,M010 301,Seminar Room,6,1
ANTH 0169 01,Anthro of the State,LEC,Bishara Amahl,9/2/14,12/8/14,T,1:20 PM,4:20 PM,M010 301,Seminar Room,13,1
ANTH 0182 01,Human Physique,LEC,Bailey Stephen M,9/2/14,12/8/14,T,9:00 AM,11:30 AM,M010 301,Seminar Room,16,1
ANTH 0185 10,Current Topics Anth,LEC,Pinto Sarah,9/2/14,12/8/14,R,1:20 PM,4:20 PM,M010 203,Classroom,9,1
ARB 0001 A,Elem Mod Standard Arabic,LEC,Gunduz Haci Osman,9/2/14,12/8/14,M,9:30 AM,10:20 AM,M010 124,Seminar Room,14,1
ARB 0001 A,Elem Mod Standard Arabic,LEC,Gunduz Haci Osman,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M010 124,Seminar Room,14,1
ARB 0001 B,Elem Mod Standard Arabic,LEC,Jajji Fadi,9/2/14,12/8/14,F,3:30 PM,4:20 PM,M086 001,Classroom,10,1
ARB 0001 B,Elem Mod Standard Arabic,LEC,Jajji Fadi,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M086 001,Classroom,10,1
ARB 0001 C,Elem Mod Standard Arabic,LEC,El Nady Rabab,9/2/14,12/8/14,F,12:00 PM,12:50 PM,M086 012,Classroom,11,1
ARB 0001 C,Elem Mod Standard Arabic,LEC,El Nady Rabab,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M086 012,Classroom,11,1
ARB 0001 D,Elem Mod Standard Arabic,LEC,Gunduz Haci Osman,9/2/14,12/8/14,M,6:00 PM,6:50 PM,M086 318,Classroom,12,1
ARB 0001 D,Elem Mod Standard Arabic,LEC,Gunduz Haci Osman,9/2/14,12/8/14,TR,4:30 PM,5:45 PM,M086 318,Classroom,12,1
ARB 0001 E,Elem Mod Standard Arabic,LEC,Gunduz Haci Osman,9/2/14,12/8/14,M,4:30 PM,5:20 PM,M086 103,Classroom,12,1
ARB 0001 E,Elem Mod Standard Arabic,LEC,Gunduz Haci Osman,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M086 103,Classroom,12,1
ARB 0003 A,Intermed Std Arabic,LEC,Jajji Fadi,9/2/14,12/8/14,F,12:00 PM,12:50 PM,M086 107,Classroom,13,1
ARB 0003 A,Intermed Std Arabic,LEC,Jajji Fadi,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M086 107,Classroom,13,1
ARB 0003 B,Intermed Std Arabic,LEC,Jajji Fadi,9/2/14,12/8/14,F,10:30 AM,11:20 AM,M086 110,Classroom,13,1
ARB 0003 B,Intermed Std Arabic,LEC,Jajji Fadi,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M086 005,Classroom,13,1
ARB 0003 C,Intermed Std Arabic,LEC,Gunduz Haci Osman,9/2/14,12/8/14,F,9:30 AM,10:20 AM,M086 011,Classroom,15,1
ARB 0003 C,Intermed Std Arabic,LEC,Gunduz Haci Osman,9/2/14,12/8/14,TW,9:05 AM,10:20 AM,M086 011,Classroom,15,1
