id,Course,Title,CourseType,Instructor,StartDate,EndDate,Weekdays,StartTime,EndTime,Location,RoomType,Enrolled,Credits,Department,BuildingName,RoomName
1,ACL 0003 01,Real Seminar,LEC,Herbert Jean L S,9/2/2014,12/8/2014,M,12:00:00,13:15:00,M010 209,Classroom,2,0.5,All College,Eaton Hall,Eaton 209
2,ACL 0007 LA,Faculty Seminars,LEC,Manos Christopher,9/2/2014,12/8/2014,M,10:30:00,11:45:00,M010 124,Seminar Room,11,0.5,All College,Eaton Hall,Eaton 124
3,ACL 0007 LB,Faculty Seminars,LEC,Sullivan Linda M,9/2/2014,12/8/2014,T,10:30:00,11:45:00,M019 009,Classroom,8,0.5,All College,Aidekman Arts Center,Aidekman 009
4,ACL 0007 LC,Faculty Seminars,LEC,Weigand Claire Nicole,9/2/2014,12/8/2014,T,16:30:00,17:45:00,M038 015,Seminar Room,10,0.5,All College,East Hall,East 015
5,ACL 0007 LD,Faculty Seminars,LEC,Baffi-Dugan Carol,9/2/2014,12/8/2014,M,15:00:00,16:15:00,M086 001,Classroom,12,0.5,All College,Olin Center,Olin 001
6,ACL 0007 LE,Faculty Seminars,LEC,Mack Robert D.,9/2/2014,12/8/2014,M,15:00:00,16:15:00,M007 226,Classroom,25,0.5,All College,Braker Hall,Braker 226
7,ACL 0007 LF,Faculty Seminars,LEC,Smith-King Branwen C A,9/2/2014,12/8/2014,M,16:30:00,17:45:00,M019 009,Classroom,12,0.5,All College,Aidekman Arts Center,Aidekman 009
8,ACL 0205 01,Intl Communication,LEC,Aikens Kristina N,9/2/2014,12/8/2014,S,10:00:00,12:00:00,M024 314,Classroom,13,0,All College,Tisch Library,Tisch 314
9,AFR 0088 01,Slave Revolts and Maroons,LEC,Thomas Greg,9/2/2014,12/8/2014,TR,12:00:00,13:15:00,M007 226,Classroom,10,1,Africana Studies,Braker Hall,Braker 226
10,AMER 0012 01,Race In America,LEC,Wu Jean Y,9/2/2014,12/8/2014,R,16:30:00,19:15:00,M006 100,Classroom,28,1,American Studies,Lane Hall,Lane 100
11,AMER 0083 01,Freshman Seminar,LEC,Johnson Ronna C,9/2/2014,12/8/2014,TR,16:30:00,17:45:00,M010 124,Seminar Room,3,1,American Studies,Eaton Hall,Eaton 124
12,AMER 0096 01,Afr Am Us Hist Since1865,LEC,Joseph Peniel E.,9/2/2014,12/8/2014,MW,10:30:00,11:45:00,M022 152,Classroom,13,1,American Studies,Robinson Hall,Robinson 152
13,AMER 0180 02,Sp Top: Integrative Sem,LEC,Masuoka Natalie,9/2/2014,12/8/2014,MW,15:00:00,16:15:00,M086 011,Classroom,6,1,American Studies,Olin Center,Olin 011
14,AMER 0180 04,Sp Top: Integrative Sem,LEC,Lowe Lisa,9/2/2014,12/8/2014,W,13:20:00,16:20:00,M010 333,Classroom,12,1,American Studies,Eaton Hall,Eaton 333
15,AMER 0180 05,Sp Top: Integrative Sem,LEC,Curtis Heather D,9/2/2014,12/8/2014,W,9:00:00,11:30:00,M010 124,Seminar Room,0,1,American Studies,Eaton Hall,Eaton 124
16,AMER 0180 07,Sp Top: Integrative Sem,LEC,Stanton Catherine Louise,9/2/2014,12/8/2014,W,13:30:00,16:00:00,M027 010,Classroom,0,1,American Studies,Paige Hall,Paige Terrace Room
17,AMER 0182 01,Asian America,LEC,Wu Jean Y,9/2/2014,12/8/2014,R,13:30:00,16:15:00,M006 100,Classroom,13,1,American Studies,Lane Hall,Lane 100
18,AMER 0193 01,Independent Study,LEC,Wu Jean Y,9/2/2014,12/8/2014,M,18:00:00,21:00:00,M010 204,Classroom,9,1,American Studies,Eaton Hall,Eaton 204
19,AMER 0194 03,Special Topics,LEC,Zavala Zum Brook Adriana,9/2/2014,12/8/2014,TR,10:30:00,11:45:00,M010 202,Classroom,7,1,American Studies,Eaton Hall,Eaton 202
20,AMER 0194 05,Special Topics,LEC,Abowd Thomas,9/2/2014,12/8/2014,W,18:30:00,21:00:00,M086 102,Classroom,3,1,American Studies,Olin Center,Olin 102
21,AMER 0194 07,Special Topics,LEC,Chen Thomas Chiachieh,9/2/2014,12/8/2014,T,13:20:00,16:20:00,M010 333,Classroom,6,1,American Studies,Eaton Hall,Eaton 333
22,AMER 0194 08,Special Topics,LEC,Thomas Greg,9/2/2014,12/8/2014,TR,12:00:00,13:15:00,M007 226,Classroom,3,1,American Studies,Braker Hall,Braker 226
23,AMER 0194 09,Special Topics,LEC,Curtis Heather D,9/2/2014,12/8/2014,MW,13:30:00,14:45:00,M010 202,Classroom,0,1,American Studies,Eaton Hall,Eaton 202
24,AMER 0194 10,Special Topics,LEC,Grey Jacquelyn,9/2/2014,12/8/2014,TR,12:00:00,13:15:00,M007 225,Classroom,9,1,American Studies,Braker Hall,Braker 225
25,AMER 0194 11,Special Topics,LEC,Grey Jacquelyn,9/2/2014,12/8/2014,W,9:00:00,11:30:00,M019 009,Classroom,7,1,American Studies,Aidekman Arts Center,Aidekman 009
26,AMER 0198 01,Senior Special Project,LEC,Chen Thomas Chiachieh,9/2/2014,12/8/2014,R,18:00:00,21:00:00,M086 107,Classroom,6,1,American Studies,Olin Center,Olin 107
27,AMER 0199 01,Senior Honors Thesis A,LEC,Chen Thomas Chiachieh,9/2/2014,12/8/2014,R,18:00:00,21:00:00,M086 107,Classroom,9,0,American Studies,Olin Center,Olin 107
28,ANTH 0015 01,Nat People Rights S Amer,LEC,Tirrell Andrew R.,9/2/2014,12/8/2014,TR,18:00:00,19:15:00,M027 010,Classroom,38,1,Anthropology,Paige Hall,Paige Terrace Room
29,ANTH 0016 01,Intro Latino Cultures,LEC,Pacini Deborah,9/2/2014,12/8/2014,TR,13:30:00,14:45:00,M027 113,Classroom,33,1,Anthropology,Paige Hall,Paige Crane Room
30,ANTH 0027 01,Human Rights And Culture,LEC,Bishara Amahl,9/2/2014,12/8/2014,MW,15:00:00,16:15:00,M010 206,Classroom,36,1,Anthropology,Eaton Hall,Eaton 206
31,ANTH 0039 06,Gateway:sociocult Anth,LEC,Blanchette Alexander,9/2/2014,12/8/2014,MW,16:30:00,17:45:00,M010 206,Classroom,22,1,Anthropology,Eaton Hall,Eaton 206
32,ANTH 0050 01,Prehistoric Archaeology,LEC,Sullivan Lauren A.,9/2/2014,12/8/2014,MW,18:00:00,19:15:00,M009 104,Classroom,22,1,Anthropology,Pearson Laboratory,Pearson 104
33,ANTH 0126 01,FoodNutrition & Culture,LEC,Bailey Stephen M,9/2/2014,12/8/2014,MW,10:30:00,11:45:00,M004 104,Classroom,27,1,Anthropology,Barnum Hall,Barnum 104
34,ANTH 0130 01,Anthropological Thought,LEC,Blanchette Alexander,9/2/2014,12/8/2014,TR,16:30:00,17:45:00,M010 203,Classroom,23,1,Anthropology,Eaton Hall,Eaton 203
35,ANTH 0132 01,Myth Ritual & Symbol,LEC,Stanton Catherine Louise,9/2/2014,12/8/2014,MW,10:30:00,11:45:00,M010 203,Classroom,20,1,Anthropology,Eaton Hall,Eaton 203
36,ANTH 0149 19,Selected Topics,LEC,Pinto Sarah,9/2/2014,12/8/2014,TR,10:30:00,11:45:00,M017 112,Classroom,27,1,Anthropology,Miner Hall,Miner 112
37,ANTH 0149 24,Selected Topics,LEC,Stanton Catherine Louise,9/2/2014,12/8/2014,W,13:30:00,16:00:00,M027 010,Classroom,16,1,Anthropology,Paige Hall,Paige Terrace Room
38,ANTH 0149 25,Selected Topics,LEC,Jaysane-Darr Anna,9/2/2014,12/8/2014,TR,12:00:00,13:15:00,M010 202,Classroom,11,1,Anthropology,Eaton Hall,Eaton 202
