Building,Code,Room,Room_Code,Description,Capacity
112 Packard Ave.,M103,202,M103 202,112 Packard Ave. Community Health  Conference Room,13
126-128 Curtis Street,M093,102,M093 102,126 Curtis Street,15
177 College Avenue,M011,117,M011 117,177 College Ave 117,20
200 Boston Avenue,R027,2417,R027 2417,200 Boston Avenue Room 2417,40
200 Boston Avenue,R027,4745,R027 4745,200 Boston AvenueRoom 4745,0
26 Winthrop Street,M013,101,M013 101,26 Winthrop St Room 101,25
26 Winthrop Street,M013,106,M013 106,26 Winthrop St Room 106,15
26 Winthrop Street,M013,108,M013 108,26 Winthrop St Room 108,12
26 Winthrop Street,M013,113,M013 113,26 Winthrop St Room 113,56
66 Colby Street,M102,102,M102 102,Aidekman Arts Center Scen Shp,0
97 Talbot Avenue,M147,108,M147 108,97 Talbot Ave Room 108,20
Aidekman Arts Center,M019,001,M019 001,Aidekman Arts Center Room 001,15
Aidekman Arts Center,M019,002,M019 002,Aidekman Arts Center Room 002,15
Aidekman Arts Center,M019,009,M019 009,Aidekman 009,30
Aidekman Arts Center,M019,011,M019 011,Aidekman 011,15
Aidekman Arts Center,M019,012,M019 012,Aidekman 012,60
Aidekman Arts Center,M019,013,M019 013,Aidekman 013,31
Aidekman Arts Center,M019,021CO,M019 021CO,Granoff Music Room 021,20
Aidekman Arts Center,M019,027CO,M019 027CO,Granoff Music Room 027,15
Aidekman Arts Center,M019,028CO,M019 028CO,Granoff Music Room 028,15
Aidekman Arts Center,M019,030,M019 030,Balch Arena Theater,212
Aidekman Arts Center,M019,035,M019 035,Aidekman Arts Center Make-up  Room,35
Aidekman Arts Center,M019,037,M019 037,Aidekman Arts Center Room 037,0
Aidekman Arts Center,M019,075CO,M019 075CO,Aidekman Arts Center Room 075,15
Aidekman Arts Center,M019,102,M019 102,Cohen Auditorium,567
Alumni House,M041,205,M041 205,Alumni House 205,0
Anderson Hall,M003,007,M003 007,Anderson Hall Room 007,999
Anderson Hall,M003,014,M003 014,Anderson Hall Room 014,999
Anderson Hall,M003,017,M003 017,Anderson Hall Room 017,999
Anderson Hall,M003,019,M003 019,Anderson Hall Room 019,999
Anderson Hall,M003,022,M003 022,Anderson Hall Room 022,999
Anderson Hall,M003,023,M003 023,Anderson Hall Room 023,999
Anderson Hall,M003,112,M003 112,Anderson 112 ,87
Anderson Hall,M003,206,M003 206,Anderson 206,80
Anderson Hall,M003,207,M003 207,Anderson Hall Room 207,20
Anderson Hall,M003,208,M003 208,Anderson 208,36
Anderson Hall,M003,210,M003 210,Anderson 210,48
Anderson Hall,M003,211,M003 211,Anderson 211,48
Anderson Hall,M003,212,M003 212,Anderson 212,50
Anderson Hall,M003,306,M003 306,Anderson 306,40
Anderson Hall,M003,307,M003 307,Anderson Hall Room 307 ,20
Anderson Hall,M003,309,M003 309,Anderson 309,40
Anderson Hall,M003,312,M003 312,Anderson 312,50
Anderson Hall,M003,313,M003 313,Anderson 313,50
Anderson Hall,M003,318,M003 318,Anderson Hall Room 318 ,25
Bacon Hall,M025,102A,M025 102A,Bacon Hall Room 102A,0
Barnum Hall,M004,001,M004 001,Barnum Hall Room 001 ,999
Barnum Hall,M004,006,M004 006,Barnum Hall Room 006,0
Barnum Hall,M004,008,M004 008,Barnum 008,224
Barnum Hall,M004,104,M004 104,Barnum 104,96
Barnum Hall,M004,113,M004 113,Barnum 113,12
Barnum Hall,M004,114,M004 114,Barnum 114,40
Barnum Hall,M004,200,M004 200,Barnum Hall Room 200 ,999
Barnum Hall,M004,204,M004 204,Barnum Hall Room 204 - Lab,20
Barnum Hall,M004,207,M004 207,Barnum Hall Room 207,0
Barnum Hall,M004,208,M004 208,Barnum Hall Room 208 ,20
Barnum Hall,M004,216,M004 216,Barnum Hall Room 216,999
Braker Hall,M007,001,M007 001,Braker 001,128
Braker Hall,M007,002,M007 002,Braker 002 ,18
Braker Hall,M007,113,M007 113,Braker 113,38
Braker Hall,M007,118,M007 118,Braker 118,36
Braker Hall,M007,222,M007 222,Braker 222,39
Braker Hall,M007,223,M007 223,Braker 223,28
Braker Hall,M007,225,M007 225,Braker 225,27
Braker Hall,M007,226,M007 226,Braker 226,38
Bray Laboratory,M008,112,M008 112,Bray Lab Room 112,20
Bray Laboratory,M008,114,M008 114,Bray Lab Room 114,0
Bromfield Pearson,M002,001,M002 001,Bromfield-Pearson Hall Room 001,15
Bromfield Pearson,M002,002,M002 002,Bromfield-Pearson 002,49
Bromfield Pearson,M002,003,M002 003,Bromfield-Pearson 003,35
